player;session;level;action;time;state;timestamp
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;454;"Palanca_Lever7; Mirror4_3; Rotación Total Positiva: 88.0; Rotación Total Negativa: -93.5; Player 1";2020-12-03 02:05:51.764652
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;458;"Palanca_Lever6; Mirror3_0; Rotación Total Positiva: 1.5; Rotación Total Negativa: 0.0; Player 0";2020-12-03 02:05:55.915476
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;484;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 17.5; Rotación Total Negativa: -193.5; Player 1";2020-12-03 02:06:22.309064
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;485;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: -0.5; Player 1";2020-12-03 02:06:22.764948
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;487;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 9.5; Rotación Total Negativa: 0.0; Player 1";2020-12-03 02:06:23.995273
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;510;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 5.5; Rotación Total Negativa: -123.0; Player 1";2020-12-03 02:06:48.164986
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;516;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: -50.0; Player 1";2020-12-03 02:06:53.054429
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;516;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: -3.0; Player 1";2020-12-03 02:06:53.649021
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;518;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 0.0; Rotación Total Negativa: -17.0; Player 1";2020-12-03 02:06:55.650220
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;519;"Palanca_Lever5; Mirror6; Rotación Total Positiva: 6.5; Rotación Total Negativa: -0.5; Player 1";2020-12-03 02:06:56.678341
172672884;B5E821B046054D37C48CB2B44A50617D;Mirrors_1;1;523;"Palanca_Lever7; Mirror4_3; Rotación Total Positiva: 3.5; Rotación Total Negativa: 0.0; Player 1";2020-12-03 02:07:00.298487
